,HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K)
61,68,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox frog,,,,,,,,,,,,11.0,captivity,small,acceptable,,,,,
62,69,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican treefrog,,,,,2480.0,,,,,,,6.3,captivity,small,acceptable,,,,,
63,70,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland burrowing treefrog,,,,,,,,,,,,5.1,captivity,small,acceptable,,,,,
64,71,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked treefrog,,,,,2000.0,,,,,,,4.1,captivity,small,acceptable,,,,,
65,72,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled treefrog,,,,,,,,,,,,10.5,captivity,small,acceptable,,,,,
66,73,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,,,32.0,,62.0,,,,,,,14.0,wild,medium,acceptable,,,,,
67,74,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,,,,,,,,,,,,18.8,captivity,medium,acceptable,,,,,
68,75,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,,,14.0,,40.0,,,,,,,10.9,captivity,large,acceptable,,,,,
69,76,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,expectata,Blue-legged mantella,365.0,365.0,,,,,,,,,,3.0,wild,small,questionable,,,,,
70,77,Animalia,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,carolinensis,Eastern narrow-mouthed toad,547.0,365.0,1.0,,722.0,,,,,,,6.8,captivity,small,acceptable,,,,,
71,78,Animalia,Chordata,Amphibia,Anura,Microhylidae,Kaloula,pulchra,Malaysian narrowmouth toad,,,,,,,,,,,,11.0,captivity,medium,acceptable,,,,,
72,79,Animalia,Chordata,Amphibia,Anura,Microhylidae,Microhyla,ornata,Ornate narrow-mouthed frog,547.0,182.0,,,,,,1125.0,,,,5.0,wild,small,acceptable,,,,,
73,80,Animalia,Chordata,Amphibia,Anura,Microhylidae,Phrynomantis,bifasciatus,Red-banded frog,,,,,,,,,,,,10.3,captivity,medium,acceptable,,,,,
74,81,Animalia,Chordata,Amphibia,Anura,Microhylidae,Scaphiophryne,gottlebei,Rainbow frog,365.0,365.0,,,,,,,,,,2.0,wild,small,questionable,,,,,
75,82,Animalia,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,fuscus,Common Eurasian spadefoot toad,,,8.0,,1740.0,,,,,,,11.0,captivity,medium,acceptable,,,,,
76,83,Animalia,Chordata,Amphibia,Anura,Petropedetidae,Conraua,goliath,Goliath frog,,,,,,,,,,,,5.9,captivity,small,acceptable,,,,,
77,84,Animalia,Chordata,Amphibia,Anura,Pipidae,Pipa,pipa,Surinam toad,,,,,,,,,,,,7.7,captivity,medium,acceptable,,,,,
78,85,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,laevis,African clawed frog,183.0,,2.0,,,,,,,130.0,,30.3,captivity,large,acceptable,,,0.012,63.6,288.0
79,86,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,adspersus,African bullfrog,,,,,,,,,,,,45.0,captivity,medium,acceptable,,,,,
80,87,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Tomopterna,delalandii,Cape sand frog,,,,,,,,,,,,11.3,captivity,small,acceptable,,,,,
81,88,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,catesbeianus,American bullfrog,1277.0,730.0,4.0,,,,,,,54.4,,16.0,captivity,medium,acceptable,,,0.0134,51.2,288.0
82,89,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,clamitans,Green frog,730.0,730.0,,,4000.0,,,,,,,10.0,captivity,medium,acceptable,,,,,
83,90,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,pipiens,Northern leopard frog,730.0,365.0,,,4146.0,,,,,29.0222,,9.0,wild,medium,acceptable,,,0.00576,21.6,289.78
84,91,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,septentrionalis,Mink frog,730.0,547.0,,,2250.0,,,,,,,6.0,wild,medium,acceptable,,,,,
85,92,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,Wood frog,912.0,547.0,,,900.0,,,,,7.88,,5.0,unknown,medium,questionable,,,0.0041600000000000005,7.8,289.8
86,93,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,virgatipes,Carpenter frog,,730.0,,,,,,,,,,6.2,captivity,small,acceptable,,,,,
87,94,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,lessonae,Pool frog,,,,,2420.0,,,,,,,6.0,wild,medium,acceptable,,,,,
88,95,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,nigromaculatus,Black-spotted frog,730.0,730.0,,,2800.0,,,,,,,15.0,wild,medium,acceptable,,,,,
89,96,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,perezi,Italian green frog,912.0,912.0,6.0,,,,,,,,,6.8,captivity,small,acceptable,,,,,
90,97,Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,ridibundus,Marsh frog,1460.0,1095.0,,,6835.0,,,,,,,11.0,wild,medium,acceptable,,,,,
91,98,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,amurensis,Siberian wood frog,1640.0,1640.0,,,2125.0,,,,,,,9.0,wild,medium,acceptable,,,,,
92,99,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,arvalis,Moor frog,,,,,1750.0,,,,,,,11.0,wild,medium,acceptable,,,,,
93,100,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,aurora,California red-legged frog,,,,,,,,,,,,15.0,wild,medium,acceptable,,,,,
94,101,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,esculenta,Edible frog,,,,,,,,,,,,12.0,wild,medium,acceptable,,,,,
95,102,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,iberica,Iberian frog,,,,,318.0,,,,,,,8.0,wild,medium,acceptable,,,,,
96,103,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,macrocnemis,Long-legged wood frog,912.0,912.0,,,2040.0,,,,,,,5.0,wild,medium,acceptable,,,,,
97,104,Animalia,Chordata,Amphibia,Anura,Ranidae,Rana,temporaria,European frog,1095.0,1095.0,,,2585.0,,,,,,,27.0,unknown,medium,acceptable,,,,,
98,105,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,couchii,Couch's spadefoot,,,,,3000.0,,,,,,,6.7,captivity,small,questionable,,,,,
99,106,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Eastern spadefoot,730.0,730.0,8.0,,3872.0,,,,,,,12.3,captivity,small,acceptable,,,,,
100,107,Animalia,Chordata,Amphibia,Anura,Scaphiopodidae,Spea,intermontana,Great Basin spadefoot,,,3.0,,676.0,,,,,,,20.0,wild,medium,acceptable,,,,,
101,108,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,gracile,Northwestern salamander,730.0,730.0,,,150.0,,,,,,,10.2,captivity,small,acceptable,,,,,
102,109,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mabeei,Mabee's salamander,,,,,,,,,,,,8.8,captivity,small,acceptable,,,,,
103,110,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,macrodactylum,Long-toed salamander,730.0,730.0,40.0,,250.0,,,,,,,10.0,wild,medium,acceptable,,,,,
104,111,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,Spotted salamander,1095.0,730.0,,,125.0,,,,,12.84,,32.0,unknown,medium,acceptable,,,0.005,12.8,290.0
105,112,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,mexicanum,Axolotl,548.0,548.0,18.0,,,,,,,,,17.0,captivity,large,acceptable,,,,,
106,113,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,1296.0,1113.0,,,100.0,,,,,,,11.3,captivity,small,acceptable,,,,,
107,114,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,rosaceum,Chihuahuan mole salamander,,,,,,,,,,,,14.4,captivity,small,acceptable,,,,,
108,115,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole salamander,730.0,730.0,,,350.0,,,,,,,9.0,unknown,medium,acceptable,,,,,
109,116,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,texanum,Small-mouthed salamander,,,35.0,,625.0,,,,,,,13.8,captivity,tiny,acceptable,,,,,
110,117,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,Tiger salamander,1460.0,1460.0,28.0,,37.0,,,,,9.402000000000001,,25.0,captivity,medium,acceptable,,,0.00196,3.21,291.0
111,118,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Dicamptodon,ensatus,California giant salamander,,,150.0,,85.0,,,,,,,16.9,captivity,tiny,acceptable,,,,,
112,119,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,means,Two-toed amphiuma,1460.0,1095.0,150.0,,200.0,,,,,200.967,,27.0,captivity,small,acceptable,,,0.009040000000000001,199.0,288.0
113,120,Animalia,Chordata,Amphibia,Caudata,Amphiumidae,Amphiuma,tridactylum,Three-toed amphiuma,,,135.0,,200.0,,,,,,,15.9,captivity,small,acceptable,,,,,
114,121,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,davidianus,Chinese giant salamander,,,55.0,,500.0,,,,,,,19.9,captivity,small,questionable,,,,,
115,122,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Andrias,japonicus,Japanese giant salamander,1825.0,1825.0,60.0,,500.0,,,,,,,55.0,captivity,small,acceptable,,,,,
116,123,Animalia,Chordata,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus,alleganiensis,Hellbender,1825.0,1825.0,72.0,,275.0,,,,,358.1,,29.0,wild,medium,acceptable,,,0.0253,358.0,288.0
117,124,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,boulengeri,Boulenger's oriental salamander,,,,,32.0,,,,,,,11.9,captivity,small,acceptable,,,,,
118,125,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,leechii,Chinese salamander,,,,,,,,,,,,7.1,captivity,small,acceptable,,,,,
119,126,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,nebulosus,Clouded salamander,,,,,,,,,,,,14.2,captivity,medium,acceptable,,,,,
120,127,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,retardatus,Japanese salamander,,,,,,,,,,,,12.9,captivity,small,acceptable,,,,,
121,128,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,fischeri,Long-tailed clawed salamander,,,,,,,,,,,,17.0,wild,medium,acceptable,,,,,
122,129,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Onychodactylus,japonicus,Japanese clawed salamander,,,,,17.0,,,,,,,14.2,captivity,small,acceptable,,,,,
123,130,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Paradactylodon,mustersi,Afghanistan salamander,,,,,,,,,,,,11.0,captivity,small,acceptable,,,,,
124,131,Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Salamandrella,keyserlingii,Siberian salamander,,,23.0,,70.0,,,,,,,8.0,wild,medium,acceptable,,,,,
125,132,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,aeneus,Green salamander,912.0,912.0,82.0,,21.0,2.0,,,,,,,unknown,tiny,low,,,,,
126,133,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Aneides,lugubris,Arboreal salamander,1095.0,1095.0,,,14.5,,,,,,,,unknown,small,low,,,,,
127,134,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,dofleini,Giant palm salamander,,,,,,,,,,,,6.9,captivity,small,acceptable,,,,,
128,135,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,mexicana,Palm salamander,,,,,,,,,,,,12.2,captivity,small,acceptable,,,,,
129,136,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,monticola,Seal salamander,1642.0,1277.0,45.0,,25.0,,,,,,,17.7,captivity,tiny,acceptable,,,,,
130,137,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,ochrophaeus,Allegheny mountain dusky salamander,1280.0,1280.0,,,16.0,,,,,0.6,,19.8,captivity,tiny,acceptable,0.3,,,,
131,138,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,quadramaculatus,Black-bellied salamander,1280.0,1280.0,,,25.0,,,,,14.34,,15.0,captivity,small,acceptable,,,0.00411,14.1,288.0
132,139,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,welteri,Black mountain salamander,1642.0,1642.0,,,26.0,,,,,,,20.0,captivity,small,acceptable,,,,,
133,140,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Ensatina,eschscholtzii,Ensatina,1278.0,1278.0,138.0,,14.0,,,,,,,,unknown,tiny,low,,,,,
134,141,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,lucifuga,Cave salamander,1095.0,1095.0,13.0,,73.0,,,,,,,9.1,captivity,small,acceptable,,,,,
135,142,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,rathbuni,Texas blind salamander,,,,,,,,,,,,10.3,captivity,small,acceptable,,,,,
136,143,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,spelaea,Grotto salamander,,,,,,,,,,,,9.9,captivity,small,acceptable,,,,,
137,144,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Eurycea,wilderae,Blue ridge two-lined salamander,1278.0,1278.0,,,32.0,,,,,,,8.0,captivity,small,acceptable,,,,,
138,145,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,palleucus,Tennessee cave salamander,,,,,,,,,,,,18.5,captivity,small,acceptable,,,,,
139,146,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Gyrinophilus,porphyriticus,Spring salamander,1460.0,1460.0,,,61.0,,,,,,,18.5,captivity,small,acceptable,,,,,
140,147,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Hemidactylium,scutatum,Four-toed salamander,912.0,912.0,,,30.0,,,,,,,8.9,captivity,small,acceptable,,,,,
141,148,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Phaeognathus,hubrichti,Red Hills salamander,2008.0,,,,9.0,,,,,,,19.7,captivity,small,acceptable,,,,,
142,149,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,cinereus,Eastern red-backed salamander,730.0,730.0,,,8.0,,,,,0.5,,25.0,wild,medium,acceptable,,,9.9e-05,0.76,278.5
143,150,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,dunni,Dunn's salamander,1095.0,1095.0,70.0,,9.4,,,,,,,11.0,captivity,small,acceptable,,,,,
144,151,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,elongatus,Del Norte salamander,,,,,7.0,,,,,,,13.3,captivity,small,acceptable,,,,,
145,152,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,glutinosus,Northern slimy salamander,910.0,910.0,,,21.0,,,,,4.2,,20.1,captivity,small,acceptable,,,0.0019100000000000002,4.2,288.0
146,153,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,jordani,Red-cheeked salamander,1825.0,1095.0,,,,,,,,,,19.8,captivity,tiny,acceptable,,,,,
147,154,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,vehiculum,Western red-backed salamander,,,,,,,,,,,,11.1,captivity,small,acceptable,,,,,
148,155,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,yonahlossee,Yonahlossee salamander,1095.0,1095.0,,,,,,,,,,,unknown,tiny,low,,,,,
